,fecha_evento,tiempo_cmt,region,lat_cmt,lon_cmt,depth_cmt,id_evento,exp_cmt,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,Err,Ett,Epp,Ert,Erp,Etp,momento_sismico,strike_1,dip_1,rake_1,strike_2,dip_2,rake_2,Mw_cmt
0,2018/02/01,04:18:31.0,PACIFIC-ANTARCTIC RIDGE ,-56.94,-140.85,10.0,C201802010418A,24,-0.279,2.430,-2.150,0.349,-0.283,2.400,0.045,0.052,0.042,0.116,0.101,0.043,3.350,22,82,-177,292,87,-8.0,5.6
1,2018/02/01,10:59:58.9,FIJI ISLANDS REGION     ,-16.38,-177.34,10.0,C201802011059A,24,-0.069,-1.620,1.690,0.094,0.243,0.784,0.038,0.048,0.047,0.077,0.081,0.041,1.849,327,84,176,58,86,6.0,5.4
2,2018/02/01,11:05:50.9,FIJI ISLANDS REGION     ,-16.68,-177.43,10.0,C201802011105A,25,0.062,-1.050,0.989,0.065,0.090,0.592,0.012,0.013,0.013,0.030,0.029,0.011,1.184,330,85,177,60,87,5.0,6.0
3,2018/02/02,00:20:42.9,SOUTHERN MOLUCCA SEA    ,-0.23,125.21,51.2,C201802020020A,24,2.270,-1.440,-0.829,0.662,1.880,-1.620,0.044,0.037,0.043,0.061,0.071,0.033,3.245,252,32,126,31,65,70.0,5.6
4,2018/02/02,11:37:53.3,PACIFIC-ANTARCTIC RIDGE ,-65.81,-175.63,10.0,C201802021137A,24,-0.919,5.580,-4.660,-1.190,1.230,-0.036,0.046,0.048,0.042,0.129,0.120,0.045,5.417,226,70,-175,134,85,-20.0,5.8
5,2018/02/02,12:55:05.6,PACIFIC-ANTARCTIC RIDGE ,-65.86,-175.66,10.0,C201802021255A,24,-0.266,2.040,-1.780,-0.367,0.551,-0.241,0.037,0.035,0.031,0.093,0.085,0.032,2.044,229,70,-174,137,85,-20.0,5.5
6,2018/02/04,13:24:32.6,NORTH OF SVALBARD       ,83.00,-6.41,10.0,C201802041324A,24,-1.600,-0.104,1.700,0.673,-0.715,0.814,0.029,0.033,0.026,0.087,0.071,0.025,2.087,226,45,-50,356,58,-122.0,5.5
7,2018/02/04,13:56:42.2,TAIWAN                  ,24.16,121.68,12.0,C201802041356A,25,0.496,-0.926,0.430,1.460,0.674,-0.212,0.010,0.009,0.009,0.057,0.031,0.007,1.783,294,17,139,64,79,77.0,6.1
8,2018/02/04,14:13:12.1,TAIWAN                  ,24.12,121.76,8.7,C201802041413A,24,0.607,-0.604,-0.004,1.690,0.604,-0.622,0.032,0.022,0.028,0.075,0.080,0.02,1.973,214,14,54,71,79,98.0,5.5
9,2018/02/06,15:50:42.4,TAIWAN                  ,24.17,121.65,10.6,C201802061550A,25,2.220,-4.130,1.910,1.860,0.105,-2.530,0.026,0.025,0.025,0.073,0.058,0.022,4.365,208,53,21,105,74,141.0,6.4
10,2018/02/06,18:37:59.2,VANUATU ISLANDS         ,-18.97,169.47,246.3,C201802061837A,24,1.950,-1.200,-0.751,0.705,-1.860,-1.780,0.068,0.068,0.069,0.062,0.059,0.065,3.139,78,46,142,196,64,51.0,5.6
11,2018/02/06,19:15:28.4,TAIWAN                  ,23.94,121.76,8.6,C201802061915A,24,1.190,-0.745,-0.448,1.380,1.210,-0.847,0.064,0.040,0.043,0.159,0.158,0.029,2.263,232,18,93,49,72,89.0,5.5
12,2018/02/07,15:21:31.2,TAIWAN                  ,24.10,121.74,10.8,C201802071521A,24,2.370,-1.730,-0.640,2.670,2.950,-1.730,0.055,0.043,0.045,0.168,0.181,0.036,4.809,248,18,114,43,73,82.0,5.7
13,2018/02/08,02:29:14.6,GREENLAND SEA           ,79.81,2.03,10.0,C201802080229A,24,-0.345,-3.670,4.020,0.352,-2.050,-1.320,0.062,0.068,0.057,0.141,0.142,0.05,4.467,218,75,15,124,75,165.0,5.7
14,2018/02/08,11:04:01.3,"ANDREANOF ISLANDS, ALEUT",52.57,-179.45,211.0,C201802081104A,24,0.460,-2.510,2.050,5.580,-2.230,-0.713,0.065,0.077,0.074,0.065,0.061,0.069,6.434,214,20,10,114,86,110.0,5.8
15,2018/02/08,21:19:23.8,OFF COAST OF CENTRAL CHI,-37.42,-74.04,10.0,C201802082119A,24,1.260,0.115,-1.370,0.158,-2.390,-0.452,0.023,0.021,0.024,0.067,0.064,0.019,2.770,35,18,125,179,76,80.0,5.6
16,2018/02/09,11:43:56.1,FIJI ISLANDS REGION     ,-17.89,-178.66,545.2,C201802091143A,25,0.367,0.399,-0.766,0.883,-0.475,0.395,0.007,0.011,0.011,0.011,0.011,0.011,1.266,20,34,162,125,80,57.0,6.0
17,2018/02/09,14:05:47.8,"NEAR COAST OF JALISCO, M",18.89,-104.78,10.0,C201802091405A,24,4.430,-2.480,-1.940,5.100,-2.800,3.210,0.072,0.060,0.066,0.208,0.178,0.056,7.646,328,22,115,121,70,81.0,5.9
18,2018/02/09,23:59:24.6,FIJI ISLANDS REGION     ,-21.41,-179.32,609.7,C201802092359A,24,1.440,-2.170,0.725,-2.350,-2.450,-0.635,0.046,0.069,0.073,0.067,0.068,0.071,3.947,110,24,150,228,78,69.0,5.7
19,2018/02/10,22:50:48.9,"NEW IRELAND REGION, P.N.",-3.81,151.92,268.0,C201802102250A,24,-1.440,1.740,-0.295,0.198,-7.830,2.110,0.077,0.084,0.090,0.079,0.078,0.078,8.152,264,16,-11,4,87,-106.0,5.9
20,2018/02/11,23:14:15.0,SOUTH OF MARIANA ISLANDS,13.81,146.41,10.0,C201802112314A,25,-0.415,-0.332,0.747,0.490,0.327,0.556,0.007,0.006,0.007,0.020,0.017,0.006,1.012,343,45,-158,237,75,-47.0,5.9
21,2018/02/13,01:11:43.3,SOUTH OF MARIANA ISLANDS,13.85,146.40,11.6,C201802130111A,24,3.450,0.087,-3.540,0.124,2.090,-1.630,0.047,0.044,0.045,0.135,0.130,0.037,4.357,213,32,108,11,60,79.0,5.7
22,2018/02/13,02:03:03.6,SOUTH OF MARIANA ISLANDS,13.82,146.47,10.0,C201802130203A,24,2.950,-0.111,-2.840,0.264,1.410,-1.390,0.049,0.032,0.038,0.084,0.087,0.026,3.498,209,33,100,17,57,83.0,5.6
23,2018/02/13,02:31:09.1,SOUTH OF MARIANA ISLANDS,13.74,146.40,10.0,C201802130231A,24,0.812,0.300,-1.110,0.080,0.422,-0.577,0.045,0.027,0.032,0.088,0.079,0.02,1.151,211,35,106,11,57,79.0,5.3
24,2018/02/13,02:39:53.8,"ANDAMAN ISLANDS, INDIA R",12.36,93.13,69.4,C201802130239A,24,0.413,-0.750,0.337,-0.386,-0.398,0.275,0.032,0.024,0.026,0.020,0.019,0.022,0.898,138,47,152,248,70,47.0,5.2
25,2018/02/14,00:05:30.3,"ARU ISLANDS REGION, INDO",-6.00,133.80,10.0,C201802140005A,24,-0.563,-0.088,0.650,-0.381,-0.434,0.304,0.019,0.013,0.016,0.028,0.028,0.011,0.886,179,29,-124,36,67,-73.0,5.2
26,2018/02/15,08:27:22.0,NORTH OF ASCENSION ISLAN,-0.07,-17.83,10.0,C201802150827A,24,-0.767,1.890,-1.130,-0.090,0.388,-2.880,0.050,0.046,0.050,0.134,0.138,0.041,3.280,256,82,-177,166,87,-8.0,5.6
27,2018/02/16,23:39:42.2,"OAXACA, MEXICO          ",16.65,-97.65,24.6,C201802162339A,26,3.270,-2.580,-0.692,6.050,-3.390,1.180,0.019,0.013,0.013,0.143,0.099,0.009,7.641,293,12,84,119,78,91.0,7.2
28,2018/02/17,00:36:53.7,"OAXACA, MEXICO          ",16.21,-97.75,8.9,C201802170036A,25,0.510,-0.484,-0.026,0.921,-0.119,0.070,0.025,0.019,0.024,0.083,0.112,0.02,1.056,279,14,92,98,76,90.0,5.9
29,2018/02/19,06:57:01.8,"OAXACA, MEXICO          ",16.50,-97.58,40.2,C201802190657A,25,0.504,-0.432,-0.071,1.160,-0.603,0.188,0.007,0.006,0.007,0.032,0.021,0.005,1.403,289,11,82,117,79,92.0,6.0
30,2018/02/22,05:48:59.0,NORTHERN MID-ATLANTIC RI,23.81,-44.95,10.0,C201802220548A,24,-0.015,-0.423,0.438,0.388,0.424,-1.200,0.019,0.019,0.019,0.059,0.059,0.018,1.389,282,71,-169,188,80,-19.0,5.4
31,2018/02/25,16:28:39.5,NEAR EAST COAST OF HONSH,37.59,141.74,30.8,C201802251628A,24,1.540,-0.921,-0.614,3.820,1.250,-1.020,0.040,0.031,0.034,0.107,0.053,0.025,4.358,208,14,49,70,80,99.0,5.7
32,2018/02/25,17:44:44.4,"NEW GUINEA, PAPUA NEW GU",-6.15,142.77,35.0,C201802251744A,27,1.710,-1.300,-0.406,0.920,-0.090,0.687,0.003,0.003,0.003,0.038,0.042,0.003,1.926,308,32,107,108,59,79.0,7.5
33,2018/02/26,04:41:02.3,"NEW BRITAIN REGION, P.N.",-5.42,151.83,35.0,C201802260441A,24,2.770,-3.000,0.230,1.450,-0.336,-1.030,0.068,0.045,0.047,0.058,0.062,0.036,3.398,238,35,65,88,58,107.0,5.6
34,2018/02/26,08:26:59.3,"NEW GUINEA, PAPUA NEW GU",-6.43,143.27,23.6,C201802260826A,24,5.150,-2.670,-2.490,3.310,-2.540,2.930,0.044,0.044,0.045,0.128,0.126,0.037,6.770,319,26,98,130,64,86.0,5.8
