,fecha_evento,tiempo cmt,lat cmt,lon cmt,depth cmt,id evento,exp cmt,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,Err,Ett,Epp,Ert,Erp,Etp,momento sismico,strike 1,dip 1,rake 1,strike 2,dip 2,rake 2
0,2018/01/02,01:10:09.3,32.29,-40.16,10.0,C201801020110A,23,-1.560,0.352,1.210,0.005,-0.180,0.780,0.131,0.089,0.083,0.282,0.194,0.05,1.626,214,42,-84,27,48,-95.0
1,2018/01/02,02:16:18.1,-38.91,46.42,10.0,C201801020216A,23,-5.720,6.080,-0.359,0.927,1.180,1.660,0.123,0.100,0.131,0.301,0.461,0.103,6.296,87,40,-75,247,51,-103.0
2,2018/01/02,04:24:17.8,41.28,22.83,11.8,C201801020424A,23,-2.760,2.950,-0.186,-0.152,0.397,-0.357,0.156,0.101,0.089,0.134,0.181,0.059,2.909,268,44,-102,105,48,-79.0
3,2018/01/02,08:10:00.1,-18.84,169.35,242.8,C201801020810A,23,2.900,0.594,-3.500,2.790,-4.910,-1.160,0.152,0.159,0.147,0.149,0.137,0.185,6.577,40,24,148,160,77,69.0
4,2018/01/02,14:57:19.1,-24.82,178.45,579.5,C201801021457A,25,-0.555,0.475,0.081,-0.242,-0.651,-0.718,0.006,0.011,0.010,0.010,0.009,0.009,1.120,94,51,-148,343,66,-43.0
5,2018/01/02,20:47:43.8,7.13,92.17,29.6,C201801022047A,23,0.599,-1.730,1.130,-0.016,-0.118,-1.240,0.146,0.111,0.090,0.175,0.169,0.11,1.899,114,85,177,205,87,5.0
6,2018/01/02,20:59:37.9,36.38,2.55,8.3,C201801022059A,23,1.100,-1.340,0.242,0.083,-0.377,-1.540,0.065,0.064,0.073,0.205,0.194,0.049,1.898,96,60,149,202,64,34.0
7,2018/01/02,22:45:16.0,-53.07,-117.93,10.0,C201801022245A,23,-0.754,-0.998,1.750,-0.249,-0.225,-1.880,0.107,0.083,0.097,0.193,0.186,0.072,2.371,109,79,-171,17,81,-11.0
8,2018/01/03,12:21:29.1,11.99,144.11,10.0,C201801031221A,23,1.730,-1.470,-0.264,0.293,-0.369,-0.891,0.156,0.101,0.095,0.188,0.232,0.061,1.903,227,46,68,77,48,111.0
9,2018/01/03,13:38:40.4,13.21,-89.28,74.8,C201801031338A,23,-5.810,4.030,1.780,1.580,-1.990,-3.480,0.127,0.122,0.136,0.099,0.098,0.11,6.694,119,35,-101,313,56,-82.0
10,2018/01/03,21:30:21.9,29.64,140.52,9.5,C201801032130A,24,-1.500,0.535,0.967,0.099,0.988,-0.671,0.015,0.014,0.015,0.042,0.040,0.012,1.768,308,34,-121,164,61,-71.0
11,2018/01/03,22:42:41.8,-0.10,-18.01,10.0,C201801032242A,23,-0.287,1.120,-0.829,0.415,0.242,-2.660,0.158,0.152,0.135,0.197,0.188,0.106,2.878,170,80,-5,260,85,-170.0
12,2018/01/04,02:44:57.4,53.28,159.90,58.4,C201801040244A,23,5.010,-1.150,-3.850,0.606,2.160,-2.590,0.144,0.132,0.121,0.094,0.087,0.1,5.681,218,34,101,25,57,82.0
13,2018/01/04,10:46:11.7,42.66,19.86,10.0,C201801041046A,23,-6.090,0.780,5.310,-0.412,-3.640,3.260,0.179,0.139,0.142,0.264,0.280,0.097,7.527,220,32,-70,16,60,-102.0
14,2018/01/04,22:45:47.9,0.67,-25.40,10.0,C201801042245A,23,-0.313,0.408,-0.095,0.231,-0.409,-1.730,0.097,0.091,0.078,0.165,0.187,0.085,1.801,85,77,177,176,87,13.0
15,2018/01/05,15:54:14.4,35.58,140.01,73.4,C201801051554A,23,2.380,-0.007,-2.380,-0.048,0.842,-0.288,0.117,0.089,0.078,0.063,0.070,0.073,2.541,190,36,95,3,55,86.0
16,2018/01/06,15:22:09.1,34.58,45.77,10.0,C201801061522A,23,4.000,-0.863,-3.140,1.860,-0.100,3.640,0.162,0.123,0.119,0.294,0.249,0.095,5.390,348,44,128,121,57,60.0
17,2018/01/06,18:35:09.2,4.18,126.69,28.6,C201801061835A,23,2.450,-0.575,-1.880,-0.793,0.494,-1.360,0.199,0.113,0.128,0.205,0.195,0.072,2.766,13,48,62,231,49,118.0
